temporada;jornada;equip1;equip2;codi1;codi2;punts1;posicio1;pg1;pe1;pp1;avgf1;avgc1;punts2;posicio2;pg2;pe2;pp2;avgf2;avgc2;difposition;resultat
Temporada 2004-05;13;Getafe;Barcelona;Temporada 2004-0513Getafe;Temporada 2004-0513Barcelona;13;17;0,307692308;0,076923077;0,615384615;0,923076923;1,384615385;32;1;0,769230769;0,153846154;0,076923077;2;0,615384615;16;2
Temporada 2004-05;13;Athletic;Racing;Temporada 2004-0513Athletic;Temporada 2004-0513Racing;15;12;0,307692308;0,230769231;0,461538462;1,307692308;1,384615385;15;14;0,307692308;0,230769231;0,461538462;0,769230769;1,230769231;-2;1
Temporada 2004-05;14;Atletico;Osasuna;Temporada 2004-0514Atletico;Temporada 2004-0514Osasuna;22;6;0,428571429;0,285714286;0,285714286;1,214285714;0,857142857;20;9;0,428571429;0,142857143;0,428571429;1,428571429;1,571428571;-3;1
Temporada 2004-05;14;Levante;Getafe;Temporada 2004-0514Levante;Temporada 2004-0514Getafe;20;10;0,428571429;0,142857143;0,428571429;1,142857143;1,428571429;14;16;0,285714286;0,142857143;0,571428571;0,857142857;1,285714286;-6;0
Temporada 2004-05;14;Villarreal;R. Madrid;Temporada 2004-0514Villarreal;Temporada 2004-0514R. Madrid;15;14;0,214285714;0,428571429;0,357142857;1;0,785714286;26;2;0,571428571;0,142857143;0,285714286;1,5;0,642857143;12;0
Temporada 2004-05;14;Racing;Deportivo;Temporada 2004-0514Racing;Temporada 2004-0514Deportivo;16;13;0,285714286;0,285714286;0,428571429;0,857142857;1,285714286;21;8;0,357142857;0,428571429;0,214285714;1,285714286;1,357142857;5;0
Temporada 2004-05;14;Zaragoza;Espanyol;Temporada 2004-0514Zaragoza;Temporada 2004-0514Espanyol;18;11;0,357142857;0,214285714;0,428571429;1,357142857;1,428571429;26;3;0,571428571;0,142857143;0,285714286;1,142857143;0,571428571;8;2
Temporada 2004-05;14;Sevilla;Athletic;Temporada 2004-0514Sevilla;Temporada 2004-0514Athletic;24;5;0,5;0,214285714;0,285714286;1,142857143;1,071428571;15;15;0,285714286;0,214285714;0,5;1,214285714;1,428571429;-10;1
Temporada 2004-05;14;Mallorca;Numancia;Temporada 2004-0514Mallorca;Temporada 2004-0514Numancia;13;18;0,214285714;0,285714286;0,5;0,928571429;1,428571429;11;20;0,214285714;0,142857143;0,642857143;0,714285714;1,785714286;-2;1
Temporada 2004-05;14;R. Sociedad;Betis;Temporada 2004-0514R. Sociedad;Temporada 2004-0514Betis;18;12;0,357142857;0,214285714;0,428571429;1,071428571;1,214285714;21;7;0,357142857;0,428571429;0,214285714;1,285714286;1,214285714;5;1
Temporada 2004-05;14;Barcelona;Malaga;Temporada 2004-0514Barcelona;Temporada 2004-0514Malaga;35;1;0,785714286;0,142857143;0,071428571;2,142857143;0,571428571;12;19;0,214285714;0,214285714;0,571428571;0,714285714;1,357142857;-18;1
Temporada 2004-05;14;Albacete;Valencia;Temporada 2004-0514Albacete;Temporada 2004-0514Valencia;14;17;0,214285714;0,357142857;0,428571429;0,785714286;1,285714286;25;4;0,5;0,285714286;0,214285714;1,571428571;0,785714286;13;2
Temporada 2004-05;15;Espanyol;Mallorca;Temporada 2004-0515Espanyol;Temporada 2004-0515Mallorca;29;2;0,6;0,133333333;0,266666667;1,2;0,6;13;19;0,2;0,266666667;0,533333333;0,933333333;1,466666667;-17;1
Temporada 2004-05;15;Getafe;Villarreal;Temporada 2004-0515Getafe;Temporada 2004-0515Villarreal;14;17;0,266666667;0,133333333;0,6;0,866666667;1,333333333;18;13;0,266666667;0,4;0,333333333;1,066666667;0,8;4;2
Temporada 2004-05;15;Betis;Racing;Temporada 2004-0515Betis;Temporada 2004-0515Racing;24;6;0,4;0,4;0,2;1,333333333;1,2;16;15;0,266666667;0,266666667;0,466666667;0,866666667;1,333333333;-9;1
Temporada 2004-05;15;Deportivo;Sevilla;Temporada 2004-0515Deportivo;Temporada 2004-0515Sevilla;22;8;0,333333333;0,466666667;0,2;1,333333333;1,4;25;5;0,466666667;0,266666667;0,266666667;1,2;1,133333333;3;0
Temporada 2004-05;15;Malaga;Levante;Temporada 2004-0515Malaga;Temporada 2004-0515Levante;15;16;0,266666667;0,2;0,533333333;0,733333333;1,266666667;20;10;0,4;0,133333333;0,466666667;1,066666667;1,4;6;1
Temporada 2004-05;15;Osasuna;Zaragoza;Temporada 2004-0515Osasuna;Temporada 2004-0515Zaragoza;21;9;0,4;0,2;0,4;1,466666667;1,6;19;11;0,333333333;0,266666667;0,4;1,4;1,466666667;-2;0
