corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
12,2,1,17,54,86,0,17,12,1,1,0,12,"72,28%",24,11,Temporada 2012-13,12,3,Getafe,Mallorca,70,4,0,0,6,3,72,2,Jornada 6,2
11,4,0,12,82,102,0,12,9,1,0,0,15,"51,86%",18,16,Temporada 2012-13,9,6,Athletic,Osasuna,86,8,0,0,8,4,106,3,Jornada 7,1
11,4,1,25,62,102,1,25,18,2,0,0,5,"49,59%",9,8,Temporada 2012-13,18,4,Atlético,Málaga,75,2,0,0,3,3,94,4,Jornada 7,1
6,3,2,14,54,74,2,14,11,1,0,1,6,"50,02%",15,10,Temporada 2012-13,11,4,Mallorca,Granada,57,5,0,0,5,3,81,2,Jornada 7,4
7,3,0,17,53,71,2,17,16,2,0,0,1,"66,8%",10,10,Temporada 2012-13,16,1,Barcelona,R. Madrid,54,4,0,0,4,4,77,2,Jornada 7,2
6,1,0,15,73,86,0,15,12,1,0,0,9,"29,02%",15,12,Temporada 2012-13,12,8,Levante,Valencia,67,4,0,0,5,5,90,5,Jornada 7,9
5,2,6,19,70,97,1,19,9,2,0,0,3,"44,6%",14,10,Temporada 2012-13,9,5,Rayo,Deportivo,68,1,0,0,5,1,106,8,Jornada 7,2
8,3,2,18,53,84,1,18,27,0,1,2,12,"44,18%",12,17,Temporada 2012-13,27,10,Zaragoza,Getafe,58,10,0,0,7,2,86,5,Jornada 7,5
6,1,6,19,64,96,0,19,12,2,0,0,5,"51,49%",11,17,Temporada 2012-13,12,8,Betis,R. Sociedad,68,5,0,0,6,2,97,6,Jornada 7,10
8,2,6,18,87,115,1,18,13,1,0,0,9,"53,53%",12,14,Temporada 2012-13,13,9,Valladolid,Espanyol,81,7,0,0,6,7,115,2,Jornada 7,3
3,2,1,14,61,85,0,14,11,2,0,0,6,"47,53%",11,11,Temporada 2012-13,11,4,Celta,Sevilla,59,2,0,0,5,2,87,2,Jornada 7,6
9,1,4,8,69,87,2,8,9,0,0,0,6,"53,04%",15,13,Temporada 2012-13,9,6,Deportivo,Sevilla,57,8,0,0,6,2,94,0,Jornada 5,10
5,1,10,13,77,109,2,13,9,0,0,0,3,"52,98%",13,16,Temporada 2012-13,9,5,Rayo,R. Madrid,74,7,0,0,3,3,112,4,Jornada 5,6
6,4,1,15,66,96,1,15,22,2,0,0,9,"44,58%",13,5,Temporada 2012-13,22,4,Atlético,Valladolid,73,3,0,0,7,6,89,2,Jornada 5,1
7,7,0,7,83,110,0,7,6,0,0,0,6,"61,29%",9,12,Temporada 2012-13,6,5,Athletic,Málaga,87,4,0,0,1,3,115,3,Jornada 5,7
4,2,1,20,76,94,1,20,8,2,0,0,6,"44,71%",17,15,Temporada 2012-13,8,5,Levante,R. Sociedad,68,4,0,0,7,4,96,2,Jornada 5,5
7,1,2,24,63,86,0,24,12,1,0,0,2,"38,87%",12,11,Temporada 2012-13,12,6,Betis,Espanyol,61,4,0,0,3,5,96,5,Jornada 5,1
7,0,1,,9,64,0,17,9,2,0,0,72,"30,67%",6,28,Temporada 2012-13,,90,Mallorca,Valencia,17,9,0,0,3,4,60,4,Jornada 5,3
4,4,3,14,55,88,1,14,13,2,1,0,5,"50,89%",14,6,Temporada 2012-13,13,3,Celta,Getafe,72,4,0,0,6,3,83,2,Jornada 5,4
1,6,3,18,67,104,1,18,12,3,0,0,4,"40,33%",11,11,Temporada 2012-13,12,13,Zaragoza,Osasuna,74,4,0,0,6,2,96,2,Jornada 5,2
14,3,0,10,64,91,0,10,15,2,0,0,13,"69,95%",20,6,Temporada 2012-13,15,5,Barcelona,Granada,57,3,0,0,12,3,83,0,Jornada 5,5
5,1,7,14,67,95,0,14,12,2,0,0,3,"45,02%",10,11,Temporada 2012-13,12,5,Deportivo,Osasuna,66,3,0,0,5,4,95,3,Jornada 1,7
3,3,3,13,68,99,0,13,9,1,0,0,5,"59,57%",16,14,Temporada 2012-13,9,3,Rayo,Granada,72,4,0,0,3,0,105,2,Jornada 1,5
4,4,1,15,67,103,1,15,14,0,0,0,4,"56,88%",11,7,Temporada 2012-13,14,2,Zaragoza,Valladolid,72,2,0,0,3,5,101,2,Jornada 1,4
12,3,4,10,57,93,1,10,16,1,0,0,12,"60,45%",24,5,Temporada 2012-13,16,3,R. Madrid,Valencia,68,1,0,0,10,4,84,1,Jornada 1,5
9,3,3,9,55,79,1,9,12,5,0,0,5,"67,79%",18,5,Temporada 2012-13,12,2,Barcelona,R. Sociedad,58,2,0,0,10,3,71,2,Jornada 1,1
3,0,0,15,69,97,1,15,7,1,0,0,2,"31,23%",6,10,Temporada 2012-13,7,6,Levante,Atlético,75,4,0,0,2,1,97,2,Jornada 1,6
11,4,0,12,73,100,5,12,17,3,0,0,7,61%,17,13,Temporada 2012-13,17,5,Athletic,Betis,75,9,0,0,9,2,99,2,Jornada 1,4
7,5,1,14,56,84,1,14,14,2,0,0,9,"45,69%",17,13,Temporada 2012-13,14,5,Mallorca,Espanyol,69,5,0,0,11,2,86,3,Jornada 1,4
8,4,1,15,67,99,1,15,16,2,0,0,4,"52,25%",16,10,Temporada 2012-13,16,5,Sevilla,Getafe,77,3,0,0,5,4,97,4,Jornada 1,8
8,2,2,12,53,74,1,12,9,0,0,0,6,"47,25%",17,16,Temporada 2012-13,9,6,Celta,Málaga,58,8,0,0,6,0,77,2,Jornada 1,9
3,2,2,13,65,99,0,13,17,2,0,0,3,"52,74%",8,11,Temporada 2012-13,17,5,R. Sociedad,Zaragoza,74,2,0,0,3,2,99,4,Jornada 4,5
5,2,1,5,72,93,1,5,12,0,0,0,5,"64,36%",10,8,Temporada 2012-13,12,2,Valladolid,Betis,62,2,0,0,3,2,87,1,Jornada 4,3
7,8,1,17,67,95,1,17,14,1,0,0,2,"57,1%",13,14,Temporada 2012-13,14,6,Granada,Deportivo,63,6,0,0,2,4,95,3,Jornada 4,3
5,2,1,13,67,83,3,13,13,4,0,0,8,"42,28%",12,16,Temporada 2012-13,13,3,Atlético,Rayo,59,6,0,0,6,4,87,0,Jornada 4,5
14,2,2,12,52,91,1,12,11,1,1,1,11,"60,21%",20,7,Temporada 2012-13,11,7,Osasuna,Mallorca,68,4,0,0,8,1,78,2,Jornada 4,7
4,6,5,14,72,97,1,14,19,3,0,0,3,"64,92%",12,5,Temporada 2012-13,19,3,Málaga,Levante,76,1,0,0,5,4,93,4,Jornada 4,4
