
corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
10,3,1,12,60,83,2,12,11,0,0,0,8,,24,12,Temporada 2012-13,11,1,Deportivo,Levante,72,2,0,0,4,4,82,7,Jornada 12,5
12,5,10,17,70,112,0,17,13,0,0,0,10,,18,14,Temporada 2012-13,13,6,Osasuna,Málaga,82,3,0,0,7,1,105,4,Jornada 12,4
5,0,0,30,66,95,1,30,17,2,2,0,9,,10,11,Temporada 2012-13,17,7,Valencia,Espanyol,72,6,0,0,6,4,98,7,Jornada 12,3
5,4,2,6,60,75,1,6,15,3,0,0,1,,8,13,Temporada 2012-13,15,3,Barcelona,Zaragoza,49,2,0,0,4,1,74,0,Jornada 12,7
11,0,0,15,68,98,1,15,19,5,0,0,15,,30,11,Temporada 2012-13,19,2,R. Madrid,Athletic,73,1,0,0,20,4,82,1,Jornada 12,4
10,0,1,7,70,103,0,7,8,0,0,0,10,,20,3,Temporada 2012-13,8,3,Sevilla,Levante,76,1,0,0,6,1,93,1,Jornada 10,2
11,4,2,16,65,100,1,16,23,0,0,0,13,,16,8,Temporada 2012-13,23,2,R. Sociedad,Espanyol,66,2,0,0,8,6,95,1,Jornada 10,7
11,2,2,19,69,109,1,19,14,0,0,0,11,,17,5,Temporada 2012-13,14,2,Osasuna,Valladolid,76,3,0,0,4,3,104,3,Jornada 10,2
6,0,2,16,79,101,2,16,17,1,0,0,12,,23,16,Temporada 2012-13,17,9,Granada,Athletic,66,10,0,0,10,3,102,5,Jornada 10,6
4,2,0,7,63,100,0,7,15,1,0,0,4,,14,18,Temporada 2012-13,15,6,Deportivo,Mallorca,79,4,0,0,4,2,92,1,Jornada 10,4
1,1,2,18,61,77,0,18,13,2,0,0,2,,6,13,Temporada 2012-13,13,10,Valencia,Atlético,63,3,0,0,2,4,87,5,Jornada 10,10
6,4,2,12,64,89,2,12,13,1,0,0,5,,11,5,Temporada 2012-13,13,6,Málaga,Rayo,55,2,0,0,4,5,93,2,Jornada 10,5
5,4,4,10,66,93,0,10,16,4,0,0,10,,21,12,Temporada 2012-13,16,3,R. Madrid,Zaragoza,61,3,0,0,12,2,87,2,Jornada 10,4
4,4,1,9,55,73,1,9,11,3,0,0,4,,13,11,Temporada 2012-13,11,3,Barcelona,Celta,59,4,0,0,6,2,71,1,Jornada 10,5
8,3,3,18,70,100,2,18,15,1,0,0,10,,21,15,Temporada 2012-13,15,7,Athletic,Getafe,78,8,0,0,11,2,94,5,Jornada 9,3
6,3,0,11,85,123,1,11,11,3,0,0,9,,19,8,Temporada 2012-13,11,7,Atlético,Osasuna,95,5,0,0,10,3,112,3,Jornada 9,4
3,3,1,9,85,109,1,9,13,3,0,0,8,,10,10,Temporada 2012-13,13,5,Levante,Granada,83,2,0,0,5,2,109,1,Jornada 9,6
5,1,4,18,72,96,1,18,12,2,0,0,4,,10,10,Temporada 2012-13,12,9,Zaragoza,Sevilla,69,7,0,0,6,5,103,3,Jornada 9,5
8,1,3,11,72,83,5,11,9,0,0,0,6,,5,16,Temporada 2012-13,9,8,Mallorca,R. Madrid,54,8,0,0,0,2,100,2,Jornada 9,6
7,2,8,18,63,93,5,18,12,0,0,0,5,,18,15,Temporada 2012-13,12,6,Rayo,Barcelona,58,10,0,0,3,1,99,4,Jornada 9,4
4,3,6,15,53,75,1,15,16,1,0,0,3,,12,12,Temporada 2012-13,16,5,Celta,Deportivo,49,4,0,0,2,4,73,4,Jornada 9,10
6,0,3,19,72,88,0,19,21,0,0,0,7,,11,13,Temporada 2012-13,21,6,Espanyol,Málaga,66,5,0,0,3,5,87,4,Jornada 9,8
8,0,3,7,60,88,0,7,12,1,0,0,7,,8,10,Temporada 2012-13,12,7,Betis,Valencia,63,3,0,0,3,4,84,1,Jornada 9,7
7,8,1,17,67,95,1,17,14,1,0,0,2,,13,14,Temporada 2012-13,14,6,Granada,Deportivo,63,6,0,0,2,4,95,3,Jornada 4,3
3,2,2,13,65,99,0,13,17,2,0,0,3,,8,11,Temporada 2012-13,17,5,R. Sociedad,Zaragoza,74,2,0,0,3,2,99,4,Jornada 4,5
5,2,1,13,67,83,3,13,13,4,0,0,8,,12,16,Temporada 2012-13,13,3,Atlético,Rayo,59,6,0,0,6,4,87,0,Jornada 4,5
3,1,1,27,64,102,3,27,20,3,0,0,4,,16,15,Temporada 2012-13,20,2,Espanyol,Athletic,72,6,0,0,6,5,89,5,Jornada 4,4
14,2,2,12,52,91,1,12,11,1,1,1,11,,20,7,Temporada 2012-13,11,7,Osasuna,Mallorca,68,4,0,0,8,1,78,2,Jornada 4,7
4,6,5,14,72,97,1,14,19,3,0,0,3,,12,5,Temporada 2012-13,19,3,Málaga,Levante,76,1,0,0,5,4,93,4,Jornada 4,4
3,1,3,21,77,103,0,21,13,1,0,0,9,,10,18,Temporada 2012-13,13,11,Sevilla,R. Madrid,77,7,0,0,8,3,105,3,Jornada 4,4
1,0,4,13,63,88,4,13,10,1,0,0,5,,6,15,Temporada 2012-13,10,9,Getafe,Barcelona,64,11,0,0,3,2,91,2,Jornada 4,7
8,2,2,17,58,87,1,17,15,2,0,0,4,,17,13,Temporada 2012-13,15,8,Valencia,Celta,55,3,0,0,4,2,75,3,Jornada 4,11
15,3,2,6,51,98,2,6,11,3,0,0,,,22,3,Temporada 2012-13,11,,Sevilla,Mallorca,75,2,0,0,9,2,76,0,Jornada 8,1
6,8,2,13,67,95,2,13,18,3,1,0,7,,13,14,Temporada 2012-13,18,4,Espanyol,Rayo,61,6,0,0,8,3,104,3,Jornada 8,2
7,3,3,18,75,97,2,18,17,1,0,1,4,,5,15,Temporada 2012-13,17,6,Granada,Zaragoza,69,6,0,0,3,4,105,5,Jornada 8,4
10,0,1,11,68,89,1,11,14,0,0,0,9,,15,12,Temporada 2012-13,14,4,R. Sociedad,Atlético,61,4,0,0,3,2,88,5,Jornada 8,6
4,7,3,16,80,109,0,16,11,0,0,0,3,,11,7,Temporada 2012-13,11,4,Osasuna,Betis,80,2,0,0,2,1,113,3,Jornada 8,3
13,2,3,8,68,102,1,8,15,0,0,0,10,,18,6,Temporada 2012-13,15,5,Getafe,Levante,80,3,0,0,6,3,104,2,Jornada 8,2
8,2,4,9,68,98,1,9,23,2,0,0,7,,15,11,Temporada 2012-13,23,6,Málaga,Valladolid,66,6,0,0,7,6,93,1,Jornada 8,1
5,4,1,13,56,74,5,13,14,4,0,0,7,,14,10,Temporada 2012-13,14,3,Deportivo,Barcelona,60,7,0,0,10,4,71,4,Jornada 8,1
11,5,2,11,56,87,0,11,14,2,0,0,4,,24,7,Temporada 2012-13,14,5,R. Madrid,Celta,60,3,0,0,4,2,75,3,Jornada 8,5
11,1,1,12,63,92,2,12,9,3,1,0,9,,25,7,Temporada 2012-13,9,3,Valencia,Athletic,66,3,0,0,13,2,82,3,Jornada 8,5
11,4,0,12,82,102,0,12,9,1,0,0,15,,18,16,Temporada 2012-13,9,6,Athletic,Osasuna,86,8,0,0,8,4,106,3,Jornada 7,1
11,4,1,25,62,102,1,25,18,2,0,0,5,,9,8,Temporada 2012-13,18,4,Atlético,Málaga,75,2,0,0,3,3,94,4,Jornada 7,1
6,3,2,14,54,74,2,14,11,1,0,1,6,,15,10,Temporada 2012-13,11,4,Mallorca,Granada,57,5,0,0,5,3,81,2,Jornada 7,4
7,3,0,17,53,71,2,17,16,2,0,0,1,,10,10,Temporada 2012-13,16,1,Barcelona,R. Madrid,54,4,0,0,4,4,77,2,Jornada 7,2
6,1,0,15,73,86,0,15,12,1,0,0,9,,15,12,Temporada 2012-13,12,8,Levante,Valencia,67,4,0,0,5,5,90,5,Jornada 7,9
5,2,6,19,70,97,1,19,9,2,0,0,3,,14,10,Temporada 2012-13,9,5,Rayo,Deportivo,68,1,0,0,5,1,106,8,Jornada 7,2
